26,Argyle, 2400 Bel Pre Rd., Silver Spring 20906
27,John T. Baker, 25400 Oak Dr., Damascus 20872
28,Benjamin Banneker, 14800 Perrywood Dr., Burtonsville 20866
29,Briggs Chaney, 1901 Rainbow Dr., Silver Spring 20905
30,Cabin John, 10701 Gainsborough Rd., Potomac 20854
31,Roberto W. Clemente, 18808 Waring Station Rd., Germantown 20874
32,Eastern, 300 University Blvd. East, Silver Spring 20901
33,William H. Farquhar, 16915 Batchellors Forest Rd., Olney 20832
34,Forest Oak, 651 Saybrooke Oaks Blvd., Gaithersburg 20877
35,Robert Frost, 9201 Scott Dr., Rockville 20850
36,Gaithersburg, 2 Teachers' Way, Gaithersburg 20877
37,Herbert Hoover, 8810 Postoak Rd., Potomac 20854
38,Francis Scott Key, 910 Schindler Dr., Silver Spring 20903
39,Dr. Martin Luther King Jr., 13737 Wisteria Dr., Germantown 20874
40,Kingsview, 18909 Kingsview Rd., Germantown 20874
41,Lakelands Park, 1200 Main St., Gaithersburg 20878
42,Col. E. Brooke Lee, 11800 Monticello Ave., Silver Spring 20902
43,A. Mario Loiederman, 12701 Goodhill Rd., Silver Spring 20906
44,Montgomery Village, 19300 Watkins Mill Rd., Montgomery Village 20886
45,Neelsville, 11700 Neelsville Church Rd., Germantown 20876
46,Newport Mill, 11311 Newport Mill Rd., Kensington 20895
47,North Bethesda, 8935 Bradmoor Dr., Bethesda 20817
48,Parkland, 4610 West Frankfort Dr., Rockville 20853
49,Rosa M. Parks, 19200 Olney Mill Rd., Olney 20832
50,John Poole, 17014 Tom Fox Ave., Poolesville 20837
51,Thomas W. Pyle, 6311 Wilson Lane, Bethesda 20817
52,Redland, 6505 Muncaster Mill Rd., Rockville 20855
53,Ridgeview, 16600 Raven Rock Dr., Gaithersburg 20878
54,Rocky Hill, 22401 Brick Haven Way, Clarksburg 20871
55,Shady Grove, 8100 Midcounty Hwy., Gaithersburg 20877
57,Silver Spring International, 313 Wayne Ave., Silver Spring 20910
58,Sligo, 1401 Dennis Ave., Silver Spring 20902
59,Takoma Park, 7611 Piney Branch Rd., Silver Spring 20910
60,Tilden, 11211 Old Georgetown Rd., Rockville 20852
61,Julius West, 651 Great Falls Rd., Rockville 20850
63,Westland, 5511 Massachusetts Ave., Bethesda 20816
62,Hallie Wells, 11701 Little Seneca Parkway, Clarksburg 20871
64,White Oak, 12201 New Hampshire Ave., Silver Spring 20904
65,Earle B. Wood, 14615 Bauer Dr., Rockville 20853
