High School,ppp_2014_2015,ppp_2014_2015_rank,ppp_2015_2016,ppp_2015_2016_rank,ppp_2016_2017,ppp_2016_2017_rank,ppp_2017_2018,ppp_2017_2018_rank,ppp_2018_2019,ppp_2018_2019_rank
Bethesda-Chevy Chase,1.590833333,24,2.101666667,23,2.254166667,14,2.693333333,12,2.690833333,14
"Blair, Montgomery",2.279166667,15,2.4625,17,2.7225,6,2.825833333,7,2.6775,15
"Blake, James Hubert",3.048333333,2,3.433333333,4,3.560833333,2,2.1825,20,1.583333333,25
"Churchill, Winston",2.129166667,17,2.164166667,22,1.854166667,20,1.945,22,2.339166667,19
Clarksburg,2.484166667,9,3.091666667,7,3.186666667,4,2.735,9,2.3275,20
Damascus,2.9425,4,3.2825,5,3.684166667,1,3.91,2,3.3775,4
"Einstein, Albert",2.578333333,7,2.663333333,14,2.611666667,10,3.2925,3,3.695833333,3
Gaithersburg,1.785833333,22,1.820833333,24,2.004166667,17,2.925,6,2.99,10
"Johnson, Walter",1.768333333,23,1.8125,25,1.521666667,25,1.545833333,25,1.681666667,24
"Kennedy, John F.",2.671666667,6,3.510833333,2,2.665,8,2.750833333,8,2.48,17
"Magruder, Col. Zadok",3.033333333,3,3.449166667,3,2.686666667,7,2.606666667,14,3.165,9
"Montgomery, Richard",1.526666667,25,2.266666667,21,1.855833333,19,1.718333333,24,1.831666667,23
Northwest,2.455,11,2.7,13,1.9775,18,1.833333333,23,2.355833333,18
Northwood,2.559166667,8,2.77,11,3.253333333,3,4.143333333,1,4.439166667,1
Paint Branch,2.411666667,12,2.635833333,15,2.4,13,2.705,10,3.1925,8
Poolesville,1.995833333,21,2.325,20,1.8175,24,2.431666667,17,2.6225,16
Quince Orchard,2.235833333,16,2.419166667,19,2.195,15,3.1375,4,3.374166667,5
Rockville,2.045,20,3.191666667,6,1.836666667,23,2.055833333,21,2.716666667,13
Seneca Valley,3.175,1,3.949166667,1,2.5875,11,3.136666667,5,3.959166667,2
Sherwood,2.3975,14,2.564166667,16,1.845833333,22,2.701666667,11,3.22,6
Springbrook,2.046666667,19,2.460833333,18,2.05,16,2.564166667,15,3.214166667,7
Watkins Mill,2.478333333,10,2.755833333,12,1.85,21,2.263333333,19,2.25,22
Wheaton,2.4075,13,2.775,10,2.508333333,12,2.374166667,18,2.761666667,12
Walt Whitman,2.7075,5,2.873333333,8,2.651666667,9,2.615833333,13,2.953333333,11
"Wooton, Thomas S.",2.0475,18,2.796666667,9,2.825,5,2.453333333,16,2.258333333,21
