Middle School,ppp_2014_2015,ppp_2015_2016,ppp_2016_2017,ppp_2017_2018,ppp_2018_2019,ppp_2014_2015_rank,ppp_2015_2016_rank,ppp_2016_2017_rank,ppp_2017_2018_rank,ppp_2018_2019_rank
Argyle,3.306666667,4.1175,4.025,5.589166667,4.683333333,17,10,7,8,15
"Baker, John T.",3.016666667,3.7375,3.858333333,5.205833333,5.554166667,25,16,12,14,6
"Banneker, Benjamin",4.02,3.906666667,3.726666667,4.053333333,3.398333333,7,14,15,24,32
Briggs Chaney,4.046666667,3.651666667,3.914166667,3.598333333,3.490833333,6,18,10,29,29
Cabin John,2.091666667,2.805,2.730833333,3.0775,2.7825,37,33,30,37,40
"Clemente, Roberto",3.518333333,2.831666667,2.984166667,3.2075,3.3125,12,32,28,35,33
Eastern,3.339166667,3.705,3.5375,4.5675,4.883333333,15,17,19,18,13
"Farquhar, William H.",4.28,4.795833333,3.599166667,4.233333333,3.539166667,4,4,18,21,28
Forest Oak,3.549166667,4.305,3.956666667,5.224166667,4.955,11,7,8,13,11
"Frost, Robert",3.013333333,3.155,3.755,3.41,2.814166667,26,26,14,32,39
Gaithersburg,3.735833333,4.801666667,4.3875,5.488333333,5.543333333,10,3,4,10,7
"Hoover, Herbert",2.296666667,2.9725,2.730833333,4.176666667,3.6675,36,31,30,22,26
"Key, Francis Scott",4.408333333,4.718333333,3.899166667,3.5125,3.458333333,3,5,11,30,31
"King Jr., Martin Luther",3.36,4.051666667,5.6475,6.365833333,6.209166667,14,11,1,5,3
Kingsview,2.373333333,3.106666667,1.624166667,3.601666667,4.894166667,34,28,39,28,12
Lakelands Park,3.98,2.459166667,2.6425,3.1675,3.086666667,8,38,33,36,36
"Lee, Col. E. Brooke",3.155,6.0175,3.210833333,4.428333333,8.95,22,2,21,20,2
"Loiederman, A. Mario",2.345833333,2.725833333,3.915,5.633333333,3.850833333,35,34,9,7,24
Montgomery Village,5.075833333,4.604166667,3.059166667,3.485,2.845833333,2,6,26,31,38
Neelsville,2.920833333,2.718333333,1.9375,2.586666667,3.24,30,35,37,40,34
Newport Mill,3.8875,4.0275,4.125,5.299166667,3.920833333,9,12,5,12,22
North Bethesda,2.548333333,3.005833333,2.683333333,4.059166667,3.913333333,33,29,32,23,23
Parkland,3.254166667,3.789166667,4.4875,5.496666667,3.803333333,20,15,3,9,25
"Parks, Rosa M.",2.954166667,2.475833333,3.6375,5.396666667,4.258333333,28,37,17,11,19
"Poole, John",3.0675,3.614166667,4.045,6.313333333,4.806666667,23,19,6,6,14
"Pyle, Thomas W.",2.033333333,3.560833333,2.096666667,2.930833333,4.655,38,21,36,39,16
Redland,3.393333333,4.256666667,3.186666667,7.305833333,5.905,13,8,22,2,4
Ridgeview,2.966666667,3.001666667,3.13,4.943333333,4.121666667,27,30,23,16,21
Rocky Hill,2.931666667,3.148333333,3.08,5.186666667,5.578333333,29,27,24,15,5
Shady Grove,3.2825,3.469166667,2.935833333,4.874166667,4.2575,18,22,29,17,20
Silver Creek,0,0,0,7.324166667,3.475,39,39,40,1,30
Silver Spring International,3.273333333,3.5725,3.508333333,4.454166667,4.3875,19,20,20,19,18
Sligo,5.344166667,3.934166667,3.8,6.568333333,5.285833333,1,13,13,4,9
Takoma Park,3.1825,3.195833333,3.001666667,3.245,3.03,21,25,27,34,37
Tilden,3.3275,7.215833333,2.3,3.27,3.128333333,16,1,35,33,35
"West, Julius",2.665833333,3.23,3.068333333,2.971666667,13.73416667,32,24,25,38,1
"Wells, Hallie",0,0,1.849166667,3.78,4.6425,39,39,38,27,17
Westland,2.72,2.678333333,2.620833333,3.875833333,5.305,31,36,34,26,8
White Oak,4.089166667,4.2,4.785833333,6.9825,5.221666667,5,9,2,3,10
"Wood, Earle B.",3.021666667,3.405833333,3.6775,3.9325,3.5575,24,23,16,25,27
